"STATION","DATE","PRCP","TMAX","TMIN"
"USW00014739","1994-01-01","0.00","47","22"
"USW00014739","1994-01-02","0.03","49","29"
"USW00014739","1994-01-03","0.07","33","23"
"USW00014739","1994-01-04","1.19","33","19"
"USW00014739","1994-01-05","0.00","30","16"
"USW00014739","1994-01-06","0.09","18","10"
"USW00014739","1994-01-07","0.50","21","11"
"USW00014739","1994-01-08","0.84","35","17"
"USW00014739","1994-01-09","0.00","28","14"
"USW00014739","1994-01-10","0.00","22","10"
"USW00014739","1994-01-11","0.00","34","7"
"USW00014739","1994-01-12","0.08","33","26"
"USW00014739","1994-01-13","0.00","37","28"
"USW00014739","1994-01-14","0.12","35","26"
"USW00014739","1994-01-15","0.00","27","2"
"USW00014739","1994-01-16","0.00","7","-4"
"USW00014739","1994-01-17","0.18","47","3"
"USW00014739","1994-01-18","1.04","46","6"
"USW00014739","1994-01-19","0.00","11","2"
"USW00014739","1994-01-20","0.00","15","3"
"USW00014739","1994-01-21","0.00","22","6"
"USW00014739","1994-01-22","0.01","29","11"
"USW00014739","1994-01-23","0.01","21","6"
"USW00014739","1994-01-24","0.00","42","21"
"USW00014739","1994-01-25","0.00","37","23"
"USW00014739","1994-01-26","0.09","24","2"
"USW00014739","1994-01-27","0.01","19","0"
"USW00014739","1994-01-28","0.96","54","18"
"USW00014739","1994-01-29","0.00","48","31"
"USW00014739","1994-01-30","0.00","31","17"
"USW00014739","1994-01-31","0.00","26","11"
"USW00014739","1994-02-01","0.00","24","14"
"USW00014739","1994-02-02","0.00","25","14"
"USW00014739","1994-02-03","0.05","34","16"
"USW00014739","1994-02-04","0.00","30","16"
"USW00014739","1994-02-05","0.00","44","24"
"USW00014739","1994-02-06","0.00","39","29"
"USW00014739","1994-02-07","0.00","38","18"
"USW00014739","1994-02-08","0.33","18","9"
"USW00014739","1994-02-09","0.67","23","8"
"USW00014739","1994-02-10","0.00","19","3"
"USW00014739","1994-02-11","0.66","28","9"
"USW00014739","1994-02-12","0.01","31","16"
"USW00014739","1994-02-13","0.06","37","29"
"USW00014739","1994-02-14","0.00","29","17"
"USW00014739","1994-02-15","0.00","28","13"
"USW00014739","1994-02-16","0.00","32","22"
"USW00014739","1994-02-17","0.00","40","18"
"USW00014739","1994-02-18","0.00","50","33"
"USW00014739","1994-02-19","0.00","52","29"
"USW00014739","1994-02-20","0.00","62","39"
"USW00014739","1994-02-21","0.14","50","45"
"USW00014739","1994-02-22","0.00","46","27"
"USW00014739","1994-02-23","0.55","31","24"
"USW00014739","1994-02-24","0.31","35","23"
"USW00014739","1994-02-25","0.00","30","22"
"USW00014739","1994-02-26","0.17","26","13"
"USW00014739","1994-02-27","0.00","26","9"
"USW00014739","1994-02-28","0.00","29","13"
"USW00014739","1994-03-01","0.00","34","18"
"USW00014739","1994-03-02","0.00","30","18"
"USW00014739","1994-03-03","1.32","35","29"
"USW00014739","1994-03-04","0.10","42","28"
"USW00014739","1994-03-05","0.00","44","32"
"USW00014739","1994-03-06","0.00","34","27"
"USW00014739","1994-03-07","0.00","39","32"
"USW00014739","1994-03-08","0.44","45","35"
"USW00014739","1994-03-09","0.19","36","28"
"USW00014739","1994-03-10","2.05","52","32"
"USW00014739","1994-03-11","0.00","42","28"
"USW00014739","1994-03-12","0.00","41","24"
"USW00014739","1994-03-13","0.00","49","32"
"USW00014739","1994-03-14","0.00","49","35"
"USW00014739","1994-03-15","0.15","44","34"
"USW00014739","1994-03-16","0.17","49","30"
"USW00014739","1994-03-17","0.32","36","27"
"USW00014739","1994-03-18","0.12","40","25"
"USW00014739","1994-03-19","0.00","44","31"
"USW00014739","1994-03-20","0.01","46","29"
"USW00014739","1994-03-21","0.07","42","32"
"USW00014739","1994-03-22","1.21","47","37"
"USW00014739","1994-03-23","0.00","67","39"
"USW00014739","1994-03-24","0.00","53","40"
"USW00014739","1994-03-25","0.00","53","38"
"USW00014739","1994-03-26","0.00","53","35"
"USW00014739","1994-03-27","0.30","47","35"
"USW00014739","1994-03-28","0.42","50","39"
"USW00014739","1994-03-29","0.60","46","34"
"USW00014739","1994-03-30","0.02","49","35"
"USW00014739","1994-03-31","0.00","54","34"
"USW00014739","1994-04-01","0.00","58","40"
"USW00014739","1994-04-02","0.00","41","34"
"USW00014739","1994-04-03","0.00","63","38"
"USW00014739","1994-04-04","0.02","51","41"
"USW00014739","1994-04-05","0.00","63","37"
"USW00014739","1994-04-06","0.02","62","41"
"USW00014739","1994-04-07","0.32","59","40"
"USW00014739","1994-04-08","0.00","54","36"
"USW00014739","1994-04-09","0.00","56","37"
"USW00014739","1994-04-10","0.20","59","49"
"USW00014739","1994-04-11","0.00","60","44"
"USW00014739","1994-04-12","0.00","58","40"
"USW00014739","1994-04-13","0.72","59","43"
"USW00014739","1994-04-14","0.00","63","49"
"USW00014739","1994-04-15","0.00","68","45"
"USW00014739","1994-04-16","0.63","64","46"
"USW00014739","1994-04-17","0.00","56","46"
"USW00014739","1994-04-18","0.00","57","42"
"USW00014739","1994-04-19","0.01","73","41"
"USW00014739","1994-04-20","0.00","60","45"
"USW00014739","1994-04-21","0.00","55","41"
"USW00014739","1994-04-22","0.00","57","39"
"USW00014739","1994-04-23","0.00","61","39"
"USW00014739","1994-04-24","0.00","78","46"
"USW00014739","1994-04-25","0.02","46","42"
"USW00014739","1994-04-26","0.11","46","42"
"USW00014739","1994-04-27","0.19","88","44"
"USW00014739","1994-04-28","0.00","69","46"
"USW00014739","1994-04-29","0.01","58","45"
"USW00014739","1994-04-30","0.00","73","50"
"USW00014739","1994-05-01","0.26","66","47"
"USW00014739","1994-05-02","0.00","63","45"
"USW00014739","1994-05-03","0.00","68","44"
"USW00014739","1994-05-04","0.00","70","46"
"USW00014739","1994-05-05","1.39","55","46"
"USW00014739","1994-05-06","0.30","55","44"
"USW00014739","1994-05-07","0.00","73","46"
"USW00014739","1994-05-08","0.44","57","49"
"USW00014739","1994-05-09","0.00","75","50"
"USW00014739","1994-05-10","0.00","69","58"
"USW00014739","1994-05-11","0.00","66","51"
"USW00014739","1994-05-12","0.11","67","52"
"USW00014739","1994-05-13","0.00","59","47"
"USW00014739","1994-05-14","0.00","73","49"
"USW00014739","1994-05-15","0.40","74","51"
"USW00014739","1994-05-16","0.94","51","46"
"USW00014739","1994-05-17","0.18","51","47"
"USW00014739","1994-05-18","0.02","53","46"
"USW00014739","1994-05-19","0.01","50","43"
"USW00014739","1994-05-20","0.00","57","44"
"USW00014739","1994-05-21","0.00","73","44"
"USW00014739","1994-05-22","0.00","83","51"
"USW00014739","1994-05-23","0.03","82","56"
"USW00014739","1994-05-24","0.11","62","51"
"USW00014739","1994-05-25","0.98","79","54"
"USW00014739","1994-05-26","0.18","68","52"
