"STATION","DATE","PRCP","TMAX","TMIN"
"USW00094290","1994-01-01","0.10","51","44"
"USW00094290","1994-01-02","0.17","54","43"
"USW00094290","1994-01-03","0.24","53","43"
"USW00094290","1994-01-04","0.12","52","44"
"USW00094290","1994-01-05","0.04","48","40"
"USW00094290","1994-01-06","0.00","46","35"
"USW00094290","1994-01-07","0.13","47","42"
"USW00094290","1994-01-08","0.06","50","42"
"USW00094290","1994-01-09","0.01","50","45"
"USW00094290","1994-01-10","0.09","51","45"
"USW00094290","1994-01-11","0.01","51","45"
"USW00094290","1994-01-12","0.06","50","47"
"USW00094290","1994-01-13","0.06","52","45"
"USW00094290","1994-01-14","0.00","46","42"
"USW00094290","1994-01-15","0.00","51","44"
"USW00094290","1994-01-16","0.00","50","43"
"USW00094290","1994-01-17","0.00","49","37"
"USW00094290","1994-01-18","0.00","41","36"
"USW00094290","1994-01-19","0.00","42","35"
"USW00094290","1994-01-20","0.00","41","35"
"USW00094290","1994-01-21","0.11","48","36"
"USW00094290","1994-01-22","0.54","55","46"
"USW00094290","1994-01-23","0.42","52","45"
"USW00094290","1994-01-24","0.07","48","43"
"USW00094290","1994-01-25","0.19","50","40"
"USW00094290","1994-01-26","0.00","48","42"
"USW00094290","1994-01-27","0.00","48","39"
"USW00094290","1994-01-28","0.00","50","34"
"USW00094290","1994-01-29","0.00","44","33"
"USW00094290","1994-01-30","0.00","53","31"
"USW00094290","1994-01-31","0.00","49","30"
"USW00094290","1994-02-01","0.00","52","28"
"USW00094290","1994-02-02","0.00","43","31"
"USW00094290","1994-02-03","0.00","40","31"
"USW00094290","1994-02-04","0.00","48","33"
"USW00094290","1994-02-05","0.00","44","27"
"USW00094290","1994-02-06","0.00","39","32"
"USW00094290","1994-02-07","0.00","39","28"
"USW00094290","1994-02-08","0.00","38","21"
"USW00094290","1994-02-09","0.05","49","32"
"USW00094290","1994-02-10","0.00","45","36"
"USW00094290","1994-02-11","0.00","47","34"
"USW00094290","1994-02-12","0.09","51","42"
"USW00094290","1994-02-13","0.71","47","39"
"USW00094290","1994-02-14","0.02","47","40"
"USW00094290","1994-02-15","0.50","48","44"
"USW00094290","1994-02-16","0.89","48","44"
"USW00094290","1994-02-17","0.76","45","41"
"USW00094290","1994-02-18","0.03","44","38"
"USW00094290","1994-02-19","0.00","47","37"
"USW00094290","1994-02-20","0.08","48","37"
"USW00094290","1994-02-21","0.14","47","39"
"USW00094290","1994-02-22","0.03","46","39"
"USW00094290","1994-02-23","0.01","46","34"
"USW00094290","1994-02-24","0.06","43","33"
"USW00094290","1994-02-25","0.42","46","33"
"USW00094290","1994-02-26","0.36","49","40"
"USW00094290","1994-02-27","0.05","51","42"
"USW00094290","1994-02-28","0.06","58","48"
"USW00094290","1994-03-01","0.54","56","49"
"USW00094290","1994-03-02","0.23","56","46"
"USW00094290","1994-03-03","0.08","58","48"
"USW00094290","1994-03-04","0.01","52","41"
"USW00094290","1994-03-05","0.00","48","35"
"USW00094290","1994-03-06","0.00","50","33"
"USW00094290","1994-03-07","0.00","53","33"
"USW00094290","1994-03-08","0.00","61","35"
"USW00094290","1994-03-09","0.15","59","36"
"USW00094290","1994-03-10","0.30","48","44"
"USW00094290","1994-03-11","0.00","54","38"
"USW00094290","1994-03-12","0.00","61","37"
"USW00094290","1994-03-13","0.00","60","45"
"USW00094290","1994-03-14","0.00","58","42"
"USW00094290","1994-03-15","0.10","57","40"
"USW00094290","1994-03-16","0.15","52","43"
"USW00094290","1994-03-17","0.07","51","43"
"USW00094290","1994-03-18","0.06","50","37"
"USW00094290","1994-03-19","0.02","49","38"
"USW00094290","1994-03-20","0.46","46","42"
"USW00094290","1994-03-21","0.18","44","34"
"USW00094290","1994-03-22","0.10","44","34"
"USW00094290","1994-03-23","0.00","52","33"
"USW00094290","1994-03-24","0.00","54","40"
"USW00094290","1994-03-25","0.00","55","36"
"USW00094290","1994-03-26","0.00","65","37"
"USW00094290","1994-03-27","0.00","71","40"
"USW00094290","1994-03-28","0.00","70","42"
"USW00094290","1994-03-29","0.00","73","43"
"USW00094290","1994-03-30","0.00","58","47"
"USW00094290","1994-03-31","0.00","54","47"
"USW00094290","1994-04-01","0.00","57","47"
"USW00094290","1994-04-02","0.35","58","45"
"USW00094290","1994-04-03","0.25","51","44"
"USW00094290","1994-04-04","0.00","55","44"
"USW00094290","1994-04-05","0.21","53","43"
"USW00094290","1994-04-06","0.30","53","43"
"USW00094290","1994-04-07","0.14","56","43"
"USW00094290","1994-04-08","0.54","53","46"
"USW00094290","1994-04-09","0.00","58","45"
"USW00094290","1994-04-10","0.00","59","45"
"USW00094290","1994-04-11","0.00","63","42"
"USW00094290","1994-04-12","0.37","53","44"
"USW00094290","1994-04-13","0.14","50","40"
"USW00094290","1994-04-14","0.00","56","38"
"USW00094290","1994-04-15","0.00","62","42"
"USW00094290","1994-04-16","0.00","71","44"
"USW00094290","1994-04-17","0.00","68","46"
"USW00094290","1994-04-18","0.00","67","49"
"USW00094290","1994-04-19","0.02","64","50"
"USW00094290","1994-04-20","0.00","66","46"
"USW00094290","1994-04-21","0.06","61","46"
"USW00094290","1994-04-22","0.00","62","43"
"USW00094290","1994-04-23","0.00","66","44"
"USW00094290","1994-04-24","0.00","60","47"
"USW00094290","1994-04-25","0.00","62","44"
"USW00094290","1994-04-26","0.00","55","47"
"USW00094290","1994-04-27","0.00","63","47"
"USW00094290","1994-04-28","0.00","62","45"
"USW00094290","1994-04-29","0.07","61","45"
"USW00094290","1994-04-30","0.37","58","44"
"USW00094290","1994-05-01","0.02","61","42"
"USW00094290","1994-05-02","0.20","61","44"
"USW00094290","1994-05-03","0.24","62","40"
"USW00094290","1994-05-04","0.14","67","51"
"USW00094290","1994-05-05","0.00","67","52"
"USW00094290","1994-05-06","0.00","72","48"
"USW00094290","1994-05-07","0.00","74","48"
"USW00094290","1994-05-08","0.00","71","51"
"USW00094290","1994-05-09","0.00","68","48"
"USW00094290","1994-05-10","0.00","77","52"
"USW00094290","1994-05-11","0.00","67","52"
"USW00094290","1994-05-12","0.00","64","50"
"USW00094290","1994-05-13","0.00","59","49"
"USW00094290","1994-05-14","0.00","62","46"
"USW00094290","1994-05-15","0.00","57","48"
"USW00094290","1994-05-16","0.03","62","49"
"USW00094290","1994-05-17","0.00","64","50"
"USW00094290","1994-05-18","0.00","69","49"
"USW00094290","1994-05-19","0.00","69","52"
"USW00094290","1994-05-20","0.06","62","52"
"USW00094290","1994-05-21","0.00","68","51"
"USW00094290","1994-05-22","0.00","72","46"
"USW00094290","1994-05-23","0.00","73","49"
"USW00094290","1994-05-24","0.00","73","50"
"USW00094290","1994-05-25","0.00","67","53"
"USW00094290","1994-05-26","0.00","62","50"
"USW00094290","1994-05-27","0.08","62","47"
"USW00094290","1994-05-28","0.14","58","50"
"USW00094290","1994-05-29","0.06","61","50"
"USW00094290","1994-05-30","0.00","69","49"
"USW00094290","1994-05-31","0.15","63","52"
"USW00094290","1994-06-01","0.01","66","46"
"USW00094290","1994-06-02","0.00","69","50"
"USW00094290","1994-06-03","0.00","71","53"
"USW00094290","1994-06-04","0.12","64","52"
"USW00094290","1994-06-05","0.08","64","50"
"USW00094290","1994-06-06","0.10","63","51"
"USW00094290","1994-06-07","0.01","64","49"
"USW00094290","1994-06-08","0.00","70","57"
"USW00094290","1994-06-09","0.00","73","51"
"USW00094290","1994-06-10","0.00","74","50"
"USW00094290","1994-06-11","0.00","72","54"
"USW00094290","1994-06-12","0.12","67","55"
"USW00094290","1994-06-13","0.18","61","49"
"USW00094290","1994-06-14","0.02","63","51"
"USW00094290","1994-06-15","0.00","65","49"
"USW00094290","1994-06-16","0.00","70","51"
"USW00094290","1994-06-17","0.60","71","49"
"USW00094290","1994-06-18","0.21","64","51"
"USW00094290","1994-06-19","0.00","68","48"
"USW00094290","1994-06-20","0.00","75","51"
"USW00094290","1994-06-21","0.00","76","53"
"USW00094290","1994-06-22","0.00","76","53"
"USW00094290","1994-06-23","0.00","67","54"
"USW00094290","1994-06-24","0.00","64","58"
"USW00094290","1994-06-25","0.00","72","50"
"USW00094290","1994-06-26","0.03","69","54"
"USW00094290","1994-06-27","0.00","75","54"
"USW00094290","1994-06-28","0.00","78","53"
"USW00094290","1994-06-29","0.00","64","55"
"USW00094290","1994-06-30","0.00","70","54"
